"cd_mun","date","ndvi"
"1505205","2019-05-07",0.0200331494653312
"1506351","2019-05-07",0.0204193126022913
"1507953","2019-05-07",0.0208361512319456
"1508100","2019-05-07",0.0197807184750733
"1500107","2019-05-14",NA
"1500800","2019-05-14",NA
"1501105","2019-05-14",NA
"1501204","2019-05-14",NA
"1501303","2019-05-14",NA
"1501402","2019-05-14",NA
"1501501","2019-05-14",NA
"1501782","2019-05-14",NA
"1502103","2019-05-14",NA
"1503093","2019-05-14",NA
"1503309","2019-05-14",NA
"1503804","2019-05-14",NA
"1504000","2019-05-14",NA
"1504422","2019-05-14",NA
"1504604","2019-05-14",NA
"1504703","2019-05-14",NA
"1505064","2019-05-14",NA
"1505205","2019-05-14",NA
"1506351","2019-05-14",NA
"1507953","2019-05-14",NA
"1508100","2019-05-14",NA
"1500107","2019-05-21",0.0180419452295098
"1500800","2019-05-21",0.0197014385835485
"1501105","2019-05-21",0.0223136978367264
"1501204","2019-05-21",0.0215762562078668
"1501303","2019-05-21",0.0163961531026484
"1501402","2019-05-21",0.0128775805442602
"1501501","2019-05-21",0.021542229254571
"1501782","2019-05-21",0.0208872348804501
"1502103","2019-05-21",0.0200279042696838
"1503093","2019-05-21",0.0211083604493024
"1503309","2019-05-21",0.0196226317416164
"1503804","2019-05-21",0.0202957436382092
"1504000","2019-05-21",0.0172506005147269
"1504422","2019-05-21",0.0206547997457088
"1504604","2019-05-21",0.020837659767461
"1504703","2019-05-21",0.0221255837036003
"1505064","2019-05-21",0.0212610902298666
"1505205","2019-05-21",0.021507300210921
"1506351","2019-05-21",0.0213898036253776
"1507953","2019-05-21",0.0220176765066856
"1508100","2019-05-21",0.0190225606553933
"1500107","2019-05-28",NA
"1500800","2019-05-28",NA
"1501105","2019-05-28",NA
"1501204","2019-05-28",NA
"1501303","2019-05-28",NA
"1501402","2019-05-28",NA
"1501501","2019-05-28",NA
"1501782","2019-05-28",NA
"1502103","2019-05-28",NA
"1503093","2019-05-28",NA
"1503309","2019-05-28",NA
"1503804","2019-05-28",NA
"1504000","2019-05-28",NA
"1504422","2019-05-28",NA
"1504604","2019-05-28",NA
"1504703","2019-05-28",NA
"1505064","2019-05-28",NA
"1505205","2019-05-28",NA
"1506351","2019-05-28",NA
"1507953","2019-05-28",NA
"1508100","2019-05-28",NA
"1500107","2019-06-04",0.0187506323487818
"1500800","2019-06-04",0.0199995977204157
"1501105","2019-06-04",0.0210996666730158
"1501204","2019-06-04",0.021513829933139
"1501303","2019-06-04",0.0167048653685811
"1501402","2019-06-04",0.0133163110307414
"1501501","2019-06-04",0.0218192071086808
"1501782","2019-06-04",0.021667615658363
"1502103","2019-06-04",0.0200337135075326
"1503093","2019-06-04",0.0219125813217676
"1503309","2019-06-04",0.0200361390965226
"1503804","2019-06-04",0.0204375978542245
"1504000","2019-06-04",0.0175478262763548
"1504422","2019-06-04",0.0209376884422111
"1504604","2019-06-04",0.0210913752397816
"1504703","2019-06-04",0.0229665046832337
"1505064","2019-06-04",0.0218693350163567
"1505205","2019-06-04",0.0208026629760428
"1506351","2019-06-04",0.0218643648960739
"1507953","2019-06-04",0.0230299162176648
"1508100","2019-06-04",0.0199142314817627
"1500107","2019-06-11",NA
"1500800","2019-06-11",NA
"1501105","2019-06-11",NA
"1501204","2019-06-11",NA
"1501303","2019-06-11",NA
"1501402","2019-06-11",NA
"1501501","2019-06-11",NA
"1501782","2019-06-11",NA
"1502103","2019-06-11",NA
"1503093","2019-06-11",NA
"1503309","2019-06-11",NA
"1503804","2019-06-11",NA
"1504000","2019-06-11",NA
"1504422","2019-06-11",NA
"1504604","2019-06-11",NA
"1504703","2019-06-11",NA
"1505064","2019-06-11",NA
"1505205","2019-06-11",NA
"1506351","2019-06-11",NA
"1507953","2019-06-11",NA
"1508100","2019-06-11",NA
"1500107","2019-06-18",NA
"1500800","2019-06-18",NA
"1501105","2019-06-18",NA
"1501204","2019-06-18",NA
"1501303","2019-06-18",NA
"1501402","2019-06-18",NA
"1501501","2019-06-18",NA
"1501782","2019-06-18",NA
"1502103","2019-06-18",NA
"1503093","2019-06-18",NA
"1503309","2019-06-18",NA
"1503804","2019-06-18",NA
"1504000","2019-06-18",NA
"1504422","2019-06-18",NA
"1504604","2019-06-18",NA
"1504703","2019-06-18",NA
"1505064","2019-06-18",NA
"1505205","2019-06-18",NA
"1506351","2019-06-18",NA
"1507953","2019-06-18",NA
"1508100","2019-06-18",NA
"1500107","2019-06-25",0.0187011935042066
"1500800","2019-06-25",0.0193820047355959
"1501105","2019-06-25",0.0224265673539569
"1501204","2019-06-25",0.0214230008421279
"1501303","2019-06-25",0.0161471729957806
"1501402","2019-06-25",0.0129296760776405
"1501501","2019-06-25",0.020979880996653
"1501782","2019-06-25",0.0206346963080588
"1502103","2019-06-25",0.0198978754578755
"1503093","2019-06-25",0.0211670656374678
"1503309","2019-06-25",0.0203907602153944
"1503804","2019-06-25",0.0193174001277763
"1504000","2019-06-25",0.0170945154899135
"1504422","2019-06-25",0.0198141640866873
"1504604","2019-06-25",0.0209838552915767
"1504703","2019-06-25",0.0229940080209242
"1505064","2019-06-25",0.0213948137867427
"1505205","2019-06-25",0.0215842177139378
"1506351","2019-06-25",0.0215500700607193
"1507953","2019-06-25",0.0231463122050471
"1508100","2019-06-25",0.0192336010157118
"1500107","2019-07-02",NA
"1500800","2019-07-02",NA
"1501105","2019-07-02",NA
"1501204","2019-07-02",NA
"1501303","2019-07-02",NA
"1501402","2019-07-02",NA
"1501501","2019-07-02",NA
"1501782","2019-07-02",NA
"1502103","2019-07-02",NA
"1503093","2019-07-02",NA
"1503309","2019-07-02",NA
"1503804","2019-07-02",NA
"1504000","2019-07-02",NA
"1504422","2019-07-02",NA
"1504604","2019-07-02",NA
"1504703","2019-07-02",NA
"1505064","2019-07-02",NA
"1505205","2019-07-02",NA
"1506351","2019-07-02",NA
"1507953","2019-07-02",NA
"1508100","2019-07-02",NA
"1500107","2019-07-09",0.0189818472455066
"1500800","2019-07-09",0.0203788129973475
"1501105","2019-07-09",0.0229536876511923
"1501204","2019-07-09",0.0224793189576222
"1501303","2019-07-09",0.0165600566164476
"1501402","2019-07-09",0.0130290476190476
"1501501","2019-07-09",0.0222157683294275
"1501782","2019-07-09",0.0216194834451795
"1502103","2019-07-09",0.0205779755351682
"1503093","2019-07-09",0.0218899279168778
"1503309","2019-07-09",0.0207844548364823
"1503804","2019-07-09",0.0204769833343736
"1504000","2019-07-09",0.0177505291116826
"1504422","2019-07-09",0.0214674376141205
"1504604","2019-07-09",0.0217395941278066
"1504703","2019-07-09",0.0234358632445734
"1505064","2019-07-09",0.0217080062921969
"1505205","2019-07-09",0.0221563738177793
"1506351","2019-07-09",0.0224633703787707
"1507953","2019-07-09",0.0231993179352038
"1508100","2019-07-09",0.0201700603136309
"1500107","2019-07-16",NA
"1500800","2019-07-16",NA
"1501105","2019-07-16",NA
"1501204","2019-07-16",NA
"1501303","2019-07-16",NA
"1501402","2019-07-16",NA
"1501501","2019-07-16",NA
"1501782","2019-07-16",NA
"1502103","2019-07-16",NA
"1503093","2019-07-16",NA
"1503309","2019-07-16",NA
"1503804","2019-07-16",NA
"1504000","2019-07-16",NA
"1504422","2019-07-16",NA
"1504604","2019-07-16",NA
"1504703","2019-07-16",NA
"1505064","2019-07-16",NA
"1505205","2019-07-16",NA
"1506351","2019-07-16",NA
"1507953","2019-07-16",NA
"1508100","2019-07-16",NA
"1500107","2019-07-23",0.0182794579732914
"1500800","2019-07-23",0.0202215491559086
"1501105","2019-07-23",0.0225859057307953
"1501204","2019-07-23",0.0218657822399517
"1501303","2019-07-23",0.0159832987100826
"1501402","2019-07-23",0.013021999404939
"1501501","2019-07-23",0.0220245573003675
"1501782","2019-07-23",0.0210726614593256
"1502103","2019-07-23",0.019832334351848
"1503093","2019-07-23",0.0213381444032406
"1503309","2019-07-23",0.0201719902882008
"1503804","2019-07-23",0.0200486732301922
"1504000","2019-07-23",0.0166783724692816
"1504422","2019-07-23",0.0211344532681735
"1504604","2019-07-23",0.0209591672213594
"1504703","2019-07-23",0.0230503454486708
"1505064","2019-07-23",0.0212255609221528
"1505205","2019-07-23",0.0216186675612869
"1506351","2019-07-23",0.022040754120569
"1507953","2019-07-23",0.0227542432356257
"1508100","2019-07-23",0.020129700964533
"1500107","2019-07-30",NA
"1500800","2019-07-30",NA
"1501105","2019-07-30",NA
"1501204","2019-07-30",NA
"1501303","2019-07-30",NA
"1501402","2019-07-30",NA
"1501501","2019-07-30",NA
"1501782","2019-07-30",NA
"1502103","2019-07-30",NA
"1503093","2019-07-30",NA
"1503309","2019-07-30",NA
"1503804","2019-07-30",NA
"1504000","2019-07-30",NA
"1504422","2019-07-30",NA
"1504604","2019-07-30",NA
"1504703","2019-07-30",NA
"1505064","2019-07-30",NA
"1505205","2019-07-30",NA
"1506351","2019-07-30",NA
"1507953","2019-07-30",NA
"1508100","2019-07-30",NA
"1500107","2019-08-06",NA
"1500800","2019-08-06",NA
"1501105","2019-08-06",NA
"1501204","2019-08-06",NA
"1501303","2019-08-06",NA
"1501402","2019-08-06",NA
"1501501","2019-08-06",NA
"1501782","2019-08-06",NA
"1502103","2019-08-06",NA
"1503093","2019-08-06",NA
"1503309","2019-08-06",NA
"1503804","2019-08-06",NA
"1504000","2019-08-06",NA
"1504422","2019-08-06",NA
"1504604","2019-08-06",NA
"1504703","2019-08-06",NA
"1505064","2019-08-06",NA
"1505205","2019-08-06",NA
